Item Name;Q;A;C
Алмаз;20;190;4
Алоэ;44;130;10
Аотбоат;36;150;16
Багет;52;110;20
Батарея;36;110;14
Бездонный бокал;12;50;0
Бекон;30;40;14
Белая рыбка;22;115;4
Белая ваза;34;100;2
Белое вино;20;60;6
Богатое одеяние;10;50;0
Бревно;32;140;10
Бумага;40;140;12
Бутылёк маны;32;140;14
Бутылка с водой;60;240;26
Буханка хлеба;40;40;20
Веревка;36;150;12
Ветчина;24;50;4
Вместительная сумка;20;80;0
Волшебная палочка;8;40;0
Глаз драконида;14;130;2
Говядина;24;50;4
Голубая рыбка;22;115;4
Голубика;26;150;4
Горбата;20;80;8
Горшок;24;90;0
Графин;26;90;2
Гриб;20;80;0
Деревце в горшке;20;90;5
Деревянная броня;10;40;0
Деревянная доска;30;140;10
Деревянный щит;14;90;2
Длинный кактус;70;180;8
Духи;24;110;6
Жало скорпиуса;56;150;4
Железные ботинки;10;50;0
Железный доспех;8;40;0
Железный меч;20;75;4
Железный шлем;8;40;0
Железный щит;16;105;6
Желтая рыбка;18;110;2
Жидкая удача I;12;50;2
Жидкая удача II;12;50;2
Жидкая удача III;12;50;2
Зеленое яблоко;26;70;6
Зеленоросты;30;130;18
Зеленый чай;64;70;30
Золото;30;150;14
Золотое колье;8;40;0
Золотой меч;20;80;4
Изумруд;28;170;14
Имбирь;40;150;14
Капюшон;64;70;30
Кожа;30;150;10
Кожаная броня;12;60;2
Кожаные ботинки;20;50;0
Кожаный шлем;12;60;2
Кокосик;70;180;6
Красная ягода;40;50;16
Красное вино;24;70;8
Красное яблоко;26;70;6
Красочное блио;8;30;0
Кристалл;34;230;6
Кристальная лампа;36;190;6
Круглая ваза;20;80;0
Изящный кактус;66;340;6
Куб Рубика;8;40;0
Кумин;50;240;14
Куркума;48;250;12
Лавровый лист;36;230;10
Ледяная колба;20;70;10
Лук;30;40;8
Лундер;20;60;8
Магическая свеча;18;50;0
Магический посох;16;50;0
Малиновое варенье;10;90;2
Медь;40;180;10
Молоко;42;100;20
Мундир;6;30;0
Мясо гнильщика;24;150;2
Нагреватель;8;30;0
Напиток востока;70;200;30
Нитки;46;180;12
Нож;36;150;10
Обострение чувств I;12;50;2
Обострение чувств II;12;50;2
Обострение чувств III;12;50;2
Одеколон;40;130;10
Опунция;60;120;10
Ораниумбра;14;70;6
Папоротник;30;50;4
Паприка;30;130;14
Переносной фонарь;20;50;0
Перо драфеникса;18;70;8
Перья;42;190;6
Печеньки;28;60;2
Пиво;32;70;0
Пирог;20;60;0
Платье;14;40;0
Плащ;40;180;10
Подсолнух;34;60;0
Пояс;36;70;0
Прилив сил I;12;50;2
Прилив сил II;12;50;2
Прилив сил III;12;50;2
Пудра из сирени;20;100;4
Пустая бутылка;40;140;16
Рис;30;70;10
Розовая ягода;32;85;10
Рубаха;20;50;0
Рубаха работяги;20;50;0
Рубин;36;200;8
Сапфир;30;200;0
Сельдра;22;150;8
Семена древомрака;12;40;0
Семена звездоцвета;12;40;0
Семена лундера;10;40;0
Семена лунной лилии;10;40;0
Семена огнецвета;12;40;0
Семена пурпурня;10;40;0
Сендвич;24;90;0
Серебро;30;170;5
Серебряное ожерелье;8;40;0
Серебряный меч;18;80;0
Сет суши;10;40;0
Синяя ваза;14;50;0
Слизь слайма;36;100;0
Стейк;26;90;0
Стейк из сельдры;24;160;2
Стрела;68;100;20
Эхинокактус;60;180;0
Сумка;20;50;0
Сушеные томаты;40;180;10
Суши агутанами;10;50;0
Суши с красной рыбой;8;40;0
Сыр;22;80;2
Тарелка;36;60;0
Ткань;40;140;5
Тмин;30;170;5
Топаз;40;200;10
Торт;12;40;0
Угловатая ваза;20;60;0
Хлеб;40;120;0
Цветок в горшке;30;140;10
Цветущий кактус;54;150;4
Чайник;45;100;10
Черный чай;50;70;22
Чешуя рептийдов;26;130;4
Чизкейк;18;70;6
Шафран;28;150;6
Шерсть;20;60;0
Шлем воина порядка;6;40;0
Шляпа мага;8;40;0
Шоколад;24;50;8
Эфиоморника;26;130;8
Юбка;10;80;2
Южный напиток;52;250;14
Яичница;38;125;10
Яйцо;52;180;18
