Item Name;Q;A;C
Плащ;260;700;40
Богатое одеяние;260;700;40
Белая ваза;260;700;40
Мундир;260;700;40
Рубаха;260;700;40
Красочное блио;260;700;40
Вместительная сумка;260;700;40
Сумка;260;700;40
Рубаха работяги;260;700;40
Серебрянное ожерелье;260;700;40
Капюшон;260;700;40
Подсолнух;260;700;40
Опунция;260;700;40
Суккулент;260;700;40
Длинный кактус;260;700;40
Цветущий кактус;260;700;40
Крутецкий кактус;260;700;40
Магическая свеча;260;700;40
Куб Рубика;260;700;40
Бездонный бокал;260;700;40
Цветок в горшке;260;700;40
Деревце в горшке;260;700;40
Батарея;260;700;40
Нагреватель;260;700;40
Ледяная колба;260;700;40
Кристальная лампа;260;700;40
Синяя ваза;260;700;40
Алоэ;260;700;40
Одеколон;260;700;40
Угловатая ваза;260;700;40
Пудра из серени;260;700;40
Духи;260;700;40
Круглая ваза;260;700;40
Переносной фонарь;260;700;40
Рис;260;700;40
Черный чай;260;700;40
Зеленый чай;260;700;40
Чайник;260;700;40
Паприка;260;700;40
Тмин;260;700;40
Лавровый лист;260;700;40
Кумин;260;700;40
Куркума;260;700;40
Шафран;260;700;40
Сушеные томаты;260;700;40
Эфиоморника;260;700;40
Имбирь;260;700;40
Аотбоат;260;700;40
Графин;260;700;40
Бутылек маны;260;700;40
Золотое колье;260;700;40
Юбка;260;700;40
Платье;260;700;40
Папоротник;260;700;40
Горшок;260;700;40
Белая рыбка;260;700;40
Ораниумбра;260;700;40
Желтая рыбка;260;700;40
Голубая рыбка;260;700;40
Сельдара;260;700;40
Горбата;260;700;40
Семена лундера;260;700;40
Семена древомрака;260;700;40
Семена пурпурня;260;700;40
Семена огнецвета;260;700;40
Семена звездоцвета;260;700;40
Семена лунной лилии;260;700;40
Лундер;260;700;40
Кокосик;260;700;40
Зеленоросты;260;700;40
Суши красная рыба;260;700;40
Суши агутанами;260;700;40
Сет суши;260;700;40
Молоко;260;700;40
Напиток востока;260;700;40
Южный напиток;260;700;40
Тарелка;260;700;40
Пирог;260;700;40
Хлеб;260;700;40
Багет;260;700;40
Бекон;260;700;40
Чизкейк;260;700;40
Шоколад;260;700;40
Печеники;260;700;40
Яичница;260;700;40
Малиновое варенье;260;700;40
Сендвич;260;700;40
Стейк;260;700;40
Торт;260;700;40
Пустая бутылка;260;700;40
Бутылка с водой;260;700;40
Жидкая удача I;260;700;40
Жидкая удача II;260;700;40
Жидкая удача III;260;700;40
Прилив сил I;260;700;40
Прилив сил II;260;700;40
Прилив сил III;260;700;40
Обострение чувств I;260;700;40
Обострение чувств II;260;700;40
Обострение чувств III;260;700;40
Пояс;260;700;40
Кожанные ботинки;260;700;40
Шляпа мага;260;700;40
Шлем воина порядка;260;700;40
Железный доспех;260;700;40
Железные ботинки;260;700;40
Железный шлем;260;700;40
Кожанная броня;260;700;40
Кожанный шлем;260;700;40
Деревянная броня;260;700;40
Камзол;260;700;40
Стрела;260;700;40
