Item Name;Q;A;C
Алмаз;18;140;6
Алоэ;55;230;10
Аотбоат;54;200;10
Багет;108;310;40
Батарея;42;145;6
Бездонный бокал;20;80;5
Бекон;60;240;24
Белая рыбка;75;185;12
Белая ваза;76;210;15
Белое вино;72;180;12
Богатое одеяние;30;180;6
Бревно;90;280;24
Бумага;100;290;30
Бутылёк маны;45;145;6
Бутылка с водой;60;300;18
Буханка хлеба;114;310;42
Веревка;84;250;20
Ветчина;54;230;24
Вместительная сумка;36;210;12
Волшебная палочка;30;140;10
Глаз драконида;18;100;0
Говядина;60;280;24
Голубая рыбка;66;175;12
Голубика;90;270;20
Горбата;66;185;24
Горшок;96;160;24
Графин;70;150;30
Гриб;80;160;20
Деревце в горшке;72;260;10
Деревянная броня;20;85;6
Деревянная доска;70;180;12
Деревянный щит;20;80;6
Длинный кактус;24;150;6
Духи;80;250;30
Жало скорпиуса;36;130;6
Железные ботинки;40;190;12
Железный доспех;34;200;14
Железный меч;52;290;16
Железный шлем;46;180;12
Железный щит;48;270;10
Желтая рыбка;66;175;12
Жидкая удача I;24;100;0
Жидкая удача II;24;100;0
Жидкая удача III;24;100;0
Зеленое яблоко;78;330;20
Зеленоросты;54;210;16
Зеленый чай;84;350;20
Золото;60;130;18
Золотое колье;30;155;12
Золотой меч;22;150;6
Изумруд;25;110;6
Имбирь;45;120;20
Капюшон;66;190;20
Кожа;84;220;20
Кожаная броня;22;90;6
Кожаные ботинки;54;180;15
Кожаный шлем;20;100;0
Кокосик;36;130;15
Красная ягода;45;190;12
Красное вино;60;160;12
Красное яблоко;84;340;20
Красочное блио;42;90;12
Кристалл;78;140;0
Кристальная лампа;42;190;6
Круглая ваза;54;190;18
Изящный кактус;25;150;0
Куб Рубика;12;100;0
Кумин;60;230;12
Куркума;48;110;18
Лавровый лист;66;310;24
Ледяная колба;30;100;0
Лук;48;230;10
Лундер;66;110;12
Магическая свеча;60;160;12
Магический посох;24;100;0
Малиновое варенье;80;180;20
Медь;78;170;20
Молоко;90;250;30
Мундир;34;80;12
Мясо гнильщика;30;50;0
Нагреватель;24;80;6
Напиток востока;60;190;6
Нитки;96;250;20
Нож;72;230;18
Обострение чувств I;24;100;0
Обострение чувств II;24;100;0
Обострение чувств III;24;100;0
Одеколон;45;135;6
Опунция;24;100;0
Ораниумбра;24;70;6
Папоротник;56;220;12
Паприка;42;190;6
Переносной фонарь;56;105;10
Перо драфеникса;24;90;0
Перья;90;200;28
Печеньки;84;160;30
Пиво;85;105;36
Пирог;40;240;6
Платье;36;150;10
Плащ;60;190;6
Подсолнух;66;250;18
Пояс;45;130;8
Прилив сил I;24;100;0
Прилив сил II;24;100;0
Прилив сил III;24;100;0
Пудра из сирени;42;190;6
Пустая бутылка;42;100;12
Рис;96;180;18
Розовая ягода;42;190;12
Рубаха;42;200;6
Рубаха работяги;42;200;6
Рубин;24;160;6
Сапфир;30;190;6
Сельдра;66;185;20
Семена древомрака;36;110;0
Семена звездоцвета;36;115;0
Семена лундера;36;120;0
Семена лунной лилии;30;140;0
Семена огнецвета;30;135;0
Семена пурпурня;42;135;0
Сендвич;60;255;25
Серебро;90;185;20
Серебряное ожерелье;24;150;0
Серебряный меч;40;230;6
Сет суши;48;250;6
Синяя ваза;54;225;5
Слизь слайма;36;90;0
Стейк;48;190;6
Стейк из сельдры;66;190;6
Стрела;96;120;12
Эхинокактус;25;130;4
Сумка;54;130;15
Сушеные томаты;66;310;24
Суши агутанами;42;250;12
Суши красная рыба;48;230;12
Сыр;72;260;12
Тарелка;96;190;30
Ткань;82;210;30
Тмин;52;170;6
Топаз;24;100;0
Торт;42;190;6
Угловатая ваза;48;220;5
Хлеб;102;200;36
Цветок в горшке;80;245;10
Цветущий кактус;24;145;2
Чайник;66;190;18
Черный чай;66;290;15
Чешуя рептийдов;30;90;0
Чизкейк;66;150;12
Шафран;42;190;6
Шерсть;78;175;24
Шлем воина порядка;24;100;6
Шляпа мага;30;90;0
Шоколад;36;140;0
Эфиоморника;45;175;6
Юбка;30;120;0
Южный напиток;42;160;6
Яичница;60;160;12
Яйцо;96;160;24
