Item Name;Q;A;C
Алмаз;18;130;6
Алоэ;21;90;0
Аотбоат;12;60;0
Багет;33;100;0
Батарея;42;110;12
Бездонный бокал;18;100;6
Бекон;24;100;6
Белая рыбка;30;100;0
Белая ваза;39;175;6
Белое вино;21;90;9
Богатое одеяние;12;100;0
Бревно;39;70;15
Бумага;39;60;9
Бутылёк маны;52;130;12
Бутылка с водой;24;50;10
Буханка хлеба;30;50;6
Веревка;33;60;6
Ветчина;18;90;0
Вместительная сумка;18;90;0
Волшебная палочка;39;50;15
Глаз драконида;18;75;3
Говядина;21;80;0
Голубая рыбка;30;100;0
Голубика;51;95;12
Горбата;30;110;6
Горшок;39;140;3
Графин;30;110;3
Гриб;52;200;9
Деревце в горшке;45;150;3
Деревянная броня;8;40;0
Деревянная доска;27;90;3
Деревянный щит;9;40;0
Длинный кактус;12;40;0
Духи;18;100;3
Жало скорпиуса;12;60;0
Железные ботинки;15;100;0
Железный доспех;12;100;3
Железный меч;21;100;6
Железный шлем;12;100;3
Железный щит;12;90;0
Желтая рыбка;30;100;0
Жидкая удача I;27;100;3
Жидкая удача II;27;100;3
Жидкая удача III;27;100;3
Зеленое яблоко;30;75;6
Зеленоросты;12;70;0
Зеленый чай;21;110;0
Золото;33;120;9
Золотое колье;15;100;3
Золотой меч;15;90;3
Изумруд;24;180;6
Имбирь;24;100;3
Капюшон;27;110;6
Кожа;36;90;6
Кожаная броня;9;60;0
Кожаные ботинки;21;70;3
Кожаный шлем;12;70;0
Кокосик;18;50;0
Красная ягода;33;115;6
Красное вино;30;145;9
Красное яблоко;15;55;0
Красочное блио;24;130;0
Кристалл;75;110;21
Кристальная лампа;42;80;24
Круглая ваза;18;50;0
Изящный кактус;9;40;0
Куб Рубика;15;135;6
Кумин;21;100;3
Куркума;21;110;3
Лавровый лист;12;40;0
Ледяная колба;33;140;9
Лук;30;140;3
Лундер;42;120;12
Магическая свеча;51;150;21
Магический посох;36;100;13
Малиновое варенье;45;100;15
Медь;45;140;12
Молоко;42;170;12
Мундир;12;130;0
Мясо гнильщика;15;100;0
Нагреватель;36;120;15
Напиток востока;15;90;3
Нитки;60;220;15
Нож;30;140;9
Обострение чувств I;27;100;3
Обострение чувств II;27;100;3
Обострение чувств III;27;100;3
Одеколон;27;135;3
Опунция;9;40;0
Ораниумбра;8;80;0
Папоротник;15;100;0
Паприка;18;95;3
Переносной фонарь;21;60;3
Перо драфеникса;21;140;0
Перья;27;90;0
Печеньки;30;100;3
Пиво;42;180;9
Пирог;21;65;6
Платье;21;50;3
Плащ;30;80;3
Подсолнух;27;60;3
Пояс;30;100;6
Прилив сил I;27;100;3
Прилив сил II;27;100;3
Прилив сил III;27;100;3
Пудра из сирени;18;75;9
Пустая бутылка;27;175;6
Рис;39;120;9
Розовая ягода;38;115;6
Рубаха;21;180;3
Рубаха работяги;24;190;6
Рубин;24;170;3
Сапфир;27;200;3
Сельдра;33;120;6
Семена древомрака;21;90;6
Семена звездоцвета;36;90;6
Семена лундера;18;90;6
Семена лунной лилии;36;90;6
Семена огнецвета;39;90;6
Семена пурпурня;15;85;6
Сендвич;30;120;0
Серебро;36;150;6
Серебряное ожерелье;18;90;3
Серебряный меч;18;130;0
Сет суши;15;90;0
Синяя ваза;15;70;0
Слизь слайма;27;160;3
Стейк;18;90;0
Стейк из сельдры;36;90;9
Стрела;45;80;0
Эхинокактус;9;40;0
Сумка;24;90;0
Сушеные томаты;27;100;0
Суши агутанами;15;90;0
Суши красная рыба;15;110;0
Сыр;27;100;0
Тарелка;42;100;0
Ткань;45;190;0
Тмин;12;60;0
Топаз;32;200;6
Торт;39;200;6
Угловатая ваза;12;80;0
Хлеб;30;80;0
Цветок в горшке;36;70;3
Цветущий кактус;9;50;0
Чайник;36;180;3
Черный чай;36;200;6
Чешуя рептийдов;27;170;3
Чизкейк;33;70;9
Шафран;21;120;0
Шерсть;55;140;21
Шлем воина порядка;6;130;0
Шляпа мага;36;100;15
Шоколад;32;200;6
Эфиоморника;15;120;0
Юбка;15;50;0
Южный напиток;24;170;3
Яичница;30;90;0
Яйцо;45;170;6
