Item Name;Q;A;C
Алмаз;6;80;0
Алоэ;21;160;0
Аотбоат;30;150;6
Багет;45;180;10
Батарея;18;140;0
Бездонный бокал;12;120;0
Бекон;30;150;6
Белая рыбка;90;160;20
Белая ваза;33;70;9
Белое вино;45;190;9
Богатое одеяние;24;160;6
Бревно;39;95;9
Бумага;45;190;6
Бутылёк маны;24;90;0
Бутылка с водой;27;50;6
Буханка хлеба;39;140;6
Веревка;60;190;20
Ветчина;39;150;15
Вместительная сумка;52;150;12
Волшебная палочка;15;120;0
Глаз драконида;21;150;3
Говядина;36;150;9
Голубая рыбка;90;170;21
Голубика;51;180;6
Горбата;75;70;30
Горшок;51;180;15
Графин;54;200;15
Гриб;48;110;15
Деревце в горшке;42;100;0
Деревянная броня;6;30;0
Деревянная доска;33;90;6
Деревянный щит;9;40;0
Длинный кактус;24;140;3
Духи;57;270;18
Жало скорпиуса;30;140;9
Железные ботинки;9;50;0
Железный доспех;9;65;0
Железный меч;9;45;0
Железный шлем;9;50;0
Железный щит;9;45;0
Желтая рыбка;84;140;20
Жидкая удача I;14;60;0
Жидкая удача II;14;60;0
Жидкая удача III;14;60;0
Зеленое яблоко;33;205;9
Зеленоросты;27;130;3
Зеленый чай;48;180;15
Золото;60;300;15
Золотое колье;30;180;6
Золотой меч;21;150;6
Изумруд;9;85;0
Имбирь;33;140;9
Капюшон;30;100;3
Кожа;42;120;6
Кожаная броня;6;30;0
Кожаные ботинки;21;80;6
Кожаный шлем;9;40;0
Кокосик;27;120;6
Красная ягода;39;180;12
Красное вино;48;215;9
Красное яблоко;45;180;15
Красочное блио;32;165;12
Кристалл;63;270;15
Кристальная лампа;30;140;8
Круглая ваза;30;150;12
Изящный кактус;21;95;3
Куб Рубика;8;100;0
Кумин;33;150;6
Куркума;39;180;9
Лавровый лист;33;120;3
Ледяная колба;21;100;3
Лук;20;80;3
Лундер;50;130;9
Магическая свеча;33;120;0
Магический посох;15;120;0
Малиновое варенье;48;130;9
Медь;33;125;3
Молоко;51;120;21
Мундир;27;150;9
Мясо гнильщика;18;90;0
Нагреватель;21;120;0
Напиток востока;45;180;12
Нитки;57;120;9
Нож;51;120;12
Обострение чувств I;14;60;0
Обострение чувств II;14;60;0
Обострение чувств III;14;60;0
Одеколон;66;240;24
Опунция;30;150;3
Ораниумбра;24;130;9
Папоротник;30;150;9
Паприка;48;190;21
Переносной фонарь;21;80;0
Перо драфеникса;21;150;0
Перья;42;100;6
Печеньки;45;120;6
Пиво;48;160;9
Пирог;24;80;0
Платье;33;200;3
Плащ;39;180;3
Подсолнух;39;190;6
Пояс;30;110;6
Прилив сил I;14;60;0
Прилив сил II;14;60;0
Прилив сил III;14;60;0
Пудра из сирени;45;230;9
Пустая бутылка;27;120;9
Рис;66;130;21
Розовая ягода;24;220;10
Рубаха;27;120;3
Рубаха работяги;24;120;3
Рубин;6;70;0
Сапфир;6;70;0
Сельдра;81;80;30
Семена древомрака;18;120;3
Семена звездоцвета;24;120;3
Семена лундера;18;120;3
Семена лунной лилии;24;120;3
Семена огнецвета;24;120;3
Семена пурпурня;18;120;3
Сендвич;33;95;6
Серебро;42;270;15
Серебряное ожерелье;27;150;3
Серебряный меч;9;50;0
Сет суши;54;130;12
Синяя ваза;27;130;3
Слизь слайма;24;100;3
Стейк;21;130;6
Стейк из сельдры;45;120;9
Стрела;51;180;12
Эхинокактус;15;135;3
Сумка;52;175;9
Сушеные томаты;24;150;12
Суши агутанами;45;135;12
Суши красная рыба;45;155;9
Сыр;27;150;6
Тарелка;42;200;6
Ткань;63;250;12
Тмин;42;200;9
Топаз;11;100;0
Торт;24;120;3
Угловатая ваза;21;180;3
Хлеб;57;190;18
Цветок в горшке;30;125;0
Цветущий кактус;18;250;3
Чайник;39;180;9
Черный чай;57;230;12
Чешуя рептийдов;15;100;0
Чизкейк;39;140;6
Шафран;36;240;3
Шерсть;30;120;6
Шлем воина порядка;4;30;0
Шляпа мага;12;45;0
Шоколад;60;300;6
Эфиоморника;30;170;6
Юбка;30;150;3
Южный напиток;42;190;6
Яичница;42;180;3
Яйцо;54;180;20
