Item Name;Q;A;C
Алмаз;14;160;0
Алоэ;90;210;10
Аотбоат;53;300;10
Багет;160;190;50
Батарея;20;60;0
Бездонный бокал;20;80;0
Бекон;85;155;30
Белая рыбка;50;100;5
Белая ваза;90;330;25
Белое вино;42;110;20
Богатое одеяние;21;90;0
Бревно;150;230;30
Бумага;160;230;60
Бутылёк маны;30;100;0
Бутылка с водой;60;120;10
Буханка хлеба;180;215;56
Веревка;77;190;10
Ветчина;50;80;18
Вместительная сумка;35;80;5
Волшебная палочка;20;40;0
Глаз драконида;14;50;0
Говядина;45;100;15
Голубая рыбка;45;120;5
Голубика;42;100;8
Горбата;40;160;5
Горшок;90;190;10
Графин;56;140;5
Гриб;90;180;10
Деревце в горшке;35;180;0
Деревянная броня;21;80;0
Деревянная доска;100;160;20
Деревянный щит;30;160;3
Длинный кактус;25;70;5
Духи;35;150;14
Жало скорпиуса;20;50;0
Железные ботинки;15;80;0
Железный доспех;20;110;5
Железный меч;35;200;7
Железный шлем;20;90;0
Железный щит;25;150;3
Желтая рыбка;45;120;5
Жидкая удача I;14;80;0
Жидкая удача II;14;90;0
Жидкая удача III;14;100;0
Зеленое яблоко;200;210;40
Зеленоросты;120;200;20
Зеленый чай;77;110;35
Золото;30;150;5
Золотое колье;14;90;0
Золотой меч;20;130;0
Изумруд;25;200;5
Имбирь;49;290;14
Капюшон;49;170;7
Кожа;80;140;25
Кожаная броня;35;130;7
Кожаные ботинки;60;240;25
Кожаный шлем;42;170;10
Кокосик;100;180;20
Красная ягода;130;210;20
Красное вино;42;240;20
Красное яблоко;200;210;40
Красочное блио;21;65;5
Кристалл;67;180;12
Кристальная лампа;30;60;5
Круглая ваза;54;280;14
Изящный кактус;38;180;10
Куб Рубика;10;40;0
Кумин;80;350;21
Куркума;75;340;20
Лавровый лист;90;350;30
Ледяная колба;25;70;0
Лук;70;170;15
Лундер;52;140;25
Магическая свеча;20;60;0
Магический посох;15;50;0
Малиновое варенье;70;210;20
Медь;45;180;10
Молоко;130;180;30
Мундир;14;60;0
Мясо гнильщика;20;40;0
Нагреватель;20;50;0
Напиток востока;60;120;15
Нитки;112;160;15
Нож;55;150;25
Обострение чувств I;14;80;0
Обострение чувств II;14;90;0
Обострение чувств III;14;100;0
Одеколон;50;260;15
Опунция;35;140;5
Ораниумбра;21;130;7
Папоротник;75;190;7
Паприка;40;135;21
Переносной фонарь;46;110;10
Перо драфеникса;20;60;0
Перья;140;220;40
Печеньки;100;180;10
Пиво;120;290;50
Пирог;70;180;10
Платье;42;100;14
Плащ;55;120;15
Подсолнух;150;250;15
Пояс;70;310;25
Прилив сил I;14;80;0
Прилив сил II;14;90;0
Прилив сил III;14;100;0
Пудра из сирени;35;180;7
Пустая бутылка;63;95;21
Рис;140;220;30
Розовая ягода;140;210;20
Рубаха;56;140;18
Рубаха работяги;63;140;21
Рубин;21;160;0
Сапфир;21;160;0
Сельдра;40;180;10
Семена древомрака;60;120;14
Семена звездоцвета;40;140;0
Семена лундера;60;120;14
Семена лунной лилии;40;140;0
Семена огнецвета;40;140;0
Семена пурпурня;60;120;14
Сендвич;56;195;7
Серебро;35;180;10
Серебряное ожерелье;20;120;0
Серебряный меч;30;150;7
Сет суши;40;200;3
Синяя ваза;40;200;7
Слизь слайма;20;60;0
Стейк;42;160;7
Стейк из сельдры;25;90;5
Стрела;135;200;7
Эхинокактус;35;140;5
Сумка;40;90;5
Сушеные томаты;80;220;10
Суши агутанами;35;170;3
Суши с красной рыбой;30;160;0
Сыр;80;190;25
Тарелка;110;180;20
Ткань;70;190;20
Тмин;60;290;20
Топаз;21;160;0
Торт;40;130;0
Угловатая ваза;40;190;10
Хлеб;200;230;60
Цветок в горшке;35;180;0
Цветущий кактус;45;310;7
Чайник;70;180;7
Черный чай;77;110;35
Чешуя рептийдов;20;50;0
Чизкейк;40;140;10
Шафран;50;270;20
Шерсть;100;200;15
Шлем воина порядка;14;75;0
Шляпа мага;20;90;0
Шоколад;50;200;22
Эфиоморника;50;220;21
Юбка;42;50;14
Южный напиток;60;120;10
Яичница;75;160;7
Яйцо;180;280;20
