Item Name;Q;A;C
Алмаз;6;70;0
Алоэ;30;170;6
Аотбоат;15;100;0
Багет;50;250;18
Батарея;15;60;3
Бездонный бокал;9;60;0
Бекон;27;170;3
Белая рыбка;42;145;15
Белая ваза;15;30;0
Белое вино;33;110;6
Богатое одеяние;3;10;0
Бревно;51;90;18
Бумага;48;200;12
Бутылёк маны;18;60;3
Бутылка с водой;45;170;9
Буханка хлеба;45;200;15
Веревка;75;100;30
Ветчина;27;170;6
Вместительная сумка;21;70;3
Волшебная палочка;6;30;0
Глаз драконида;30;90;3
Говядина;24;180;6
Голубая рыбка;27;140;9
Голубика;24;70;3
Горбата;24;150;6
Горшок;60;170;6
Графин;15;60;0
Гриб;60;170;9
Деревце в горшке;21;90;3
Деревянная броня;27;130;6
Деревянная доска;33;70;9
Деревянный щит;36;150;9
Длинный кактус;21;150;0
Духи;12;25;0
Жало скорпиуса;30;90;6
Железные ботинки;30;160;9
Железный доспех;21;90;8
Железный меч;33;180;15
Железный шлем;24;110;9
Железный щит;24;140;8
Желтая рыбка;33;145;15
Жидкая удача I;36;50;6
Жидкая удача II;36;50;6
Жидкая удача III;36;50;6
Зеленое яблоко;33;150;9
Зеленоросты;36;180;3
Зеленый чай;39;115;18
Золото;30;45;9
Золотое колье;6;30;0
Золотой меч;12;120;0
Изумруд;9;80;0
Имбирь;42;180;9
Капюшон;45;70;15
Кожа;51;130;9
Кожаная броня;30;100;9
Кожаные ботинки;42;100;12
Кожаный шлем;33;100;6
Кокосик;21;90;6
Красная ягода;33;120;6
Красное вино;42;140;6
Красное яблоко;21;90;3
Красочное блио;3;10;0
Кристалл;15;40;0
Кристальная лампа;15;120;0
Круглая ваза;12;30;0
Изящный кактус;18;145;0
Куб Рубика;9;100;0
Кумин;18;100;3
Куркума;36;100;3
Лавровый лист;39;95;3
Ледяная колба;6;60;0
Лук;36;120;15
Лундер;18;130;0
Магическая свеча;27;160;0
Магический посох;9;60;0
Малиновое варенье;15;70;0
Медь;12;70;0
Молоко;24;90;9
Мундир;3;15;0
Мясо гнильщика;66;160;9
Нагреватель;9;50;0
Напиток востока;24;110;9
Нитки;45;55;21
Нож;42;210;12
Обострение чувств I;30;50;6
Обострение чувств II;30;50;6
Обострение чувств III;30;50;6
Одеколон;6;15;0
Опунция;15;40;0
Ораниумбра;6;65;0
Папоротник;27;150;3
Паприка;21;160;6
Переносной фонарь;30;120;12
Перо драфеникса;33;170;5
Перья;45;180;3
Печеньки;51;130;24
Пиво;54;180;30
Пирог;45;250;15
Платье;6;15;0
Плащ;19;90;6
Подсолнух;33;95;0
Пояс;36;80;6
Прилив сил I;39;45;5
Прилив сил II;39;45;5
Прилив сил III;39;45;5
Пудра из сирени;6;10;0
Пустая бутылка;36;120;15
Рис;66;270;21
Розовая ягода;42;230;9
Рубаха;21;50;6
Рубаха работяги;21;55;6
Рубин;6;65;0
Сапфир;6;65;0
Сельдра;33;155;6
Семена древомрака;21;50;0
Семена звездоцвета;15;95;3
Семена лундера;21;65;3
Семена лунной лилии;15;110;3
Семена огнецвета;15;95;3
Семена пурпурня;21;65;3
Сендвич;30;90;6
Серебро;18;100;0
Серебряное ожерелье;3;10;0
Серебряный меч;39;210;12
Сет суши;18;70;6
Синяя ваза;9;40;0
Слизь слайма;69;180;12
Стейк;18;100;3
Стейк из сельдры;21;150;3
Стрела;90;230;30
Эхинокактус;24;140;2
Сумка;36;100;6
Сушеные томаты;30;90;5
Суши агутанами;15;50;6
Суши красная рыба;15;60;3
Сыр;30;140;9
Тарелка;33;100;6
Ткань;42;80;15
Тмин;39;70;9
Топаз;12;100;0
Торт;15;120;0
Угловатая ваза;3;10;0
Хлеб;51;270;12
Цветок в горшке;30;140;9
Цветущий кактус;30;140;9
Чайник;33;100;9
Черный чай;36;105;15
Чешуя рептийдов;51;180;6	
Чизкейк;15;115;3
Шафран;18;110;3
Шерсть;30;150;6
Шлем воина порядка;12;120;0
Шляпа мага;6;20;0
Шоколад;33;170;3
Эфиоморника;24;60;9
Юбка;6;10;0
Южный напиток;21;45;3
Яичница;42;180;12
Яйцо;60;270;21
